delta_x,delta_y,delta_z,acc_x,acc_y,acc_z,pot_x,pot_y,pot_z
0.648758,0.117642,0.412454,1646.27,-3874.75,-2245.98,-22149.2,52131.5,30217.7
0.88388,0.628796,0.394431,4388.2,801.35,-774.309,-59853,-10930,10561.2
0.643719,0.720156,0.840499,969.552,2067.91,3634.88,-19125.9,-40792.7,-71703.7
0.624698,0.120777,0.682175,2686.94,-4169.29,2069.55,-44859.8,69608.3,-34552.1
0.468486,0.537671,0.14712,-1208.96,-264.864,-4151.43,27132.3,5944.25,93169.1
0.629649,0.361467,0.00272332,578.692,-1337.33,-6387.52,-4402.15,10173.2,48590.3
0.667013,0.109213,0.201865,1959.33,-3124.38,-291.619,-35216.6,56157.2,5241.51
0.737005,0.317064,0.485537,1658.77,-1797.69,-1656.07,-53321.7,57787.2,53234.8
0.295703,0.107494,0.433866,-489.803,-5056.8,-194.846,4942.49,51026.9,1966.14
0.509631,0.321939,0.576977,894.497,311.498,-930.01,-76710.4,-26713.5,79755.9
0.748403,0.772408,0.5016,3266.79,2586.47,-2130.88,-66347.9,-52530.8,43277.7
0.314361,0.384579,0.942811,-2529.84,-219.575,4924.11,27710.3,2405.08,-53935.5
0.482637,0.396382,0.945655,1126.35,-708.373,6068.21,-11977.9,7533.01,-64530.8
0.271892,0.567616,0.607509,-2329.9,987.695,618.607,88710.9,-37606.4,-23553.4
0.291533,0.36689,0.360013,-2167,-1111.98,-1692.35,65792.6,33761.1,51381.9
0.392035,0.190959,0.83533,-2430.06,-4075.56,3826.56,35567.9,59652.4,-56008
0.665797,0.823242,0.31493,1529.22,2626.73,-1078.3,-38960.6,-66922.5,27472.3
0.91687,0.552371,0.905576,2951.53,1249.68,4666.5,-24643.4,-10434,-38962.2
0.966532,0.574866,0.144402,5707.66,1732.12,22.1624,-51907.3,-15752.5,-201.552
0.227624,0.345326,0.961652,208.931,-511.103,4874.08,-2200.86,5383.92,-51343.1
0.778668,0.257031,0.527921,2129.7,-1630.94,-1416.64,-60131.6,46049.2,39998.4
0.834967,0.29733,0.884346,2164.44,-1956.65,3709.53,-27612.8,24961.9,-47324.1
0.121317,0.0702356,0.80176,-1871.33,-5334.61,2873.51,19152.8,54599.1,-29410
0.894775,0.47337,0.567392,3778.74,-732.871,-726.477,-72849.9,14129,14005.7
0.943662,0.11137,0.343462,4053.17,-3307.31,-630.057,-27398.9,22357,4259.11
0.0242162,0.394131,0.281121,-5930.63,753.599,-1349.15,40788.7,-5182.98,9278.95
0.240852,0.189043,0.181914,-1154.37,-2875.66,-3047.88,20880.2,52014.6,55129.6
0.291779,0.784346,0.535046,-683.79,2422.46,439.833,26844.7,-95102.4,-17267.3
0.987691,0.444356,0.846285,6058.49,-1431.33,3179.23,-52915,12501.3,-27767.5
0.0605486,0.255838,0.382486,-6130.18,-2939.88,-411.434,74126.6,35549.2,4975.09
0.359079,0.253893,0.991984,-804.872,-897.896,7018.84,5190.48,5790.38,-45263.3
0.00283689,0.676934,0.967201,-3960.21,619.88,3214.68,18088.8,-2831.39,-14683.5
0.90579,0.433105,0.870146,4254.89,-2653.64,3099.53,-70258.8,43818.2,-51180.9
0.641075,0.395357,0.785638,688.619,-2686.04,1794.8,-13850.9,54027.1,-36100.7
0.41095,0.850099,0.668101,265.8,2389.66,563.118,-8928.96,-80275.6,-18916.7
0.914171,0.812705,0.0635679,5062.15,1663.14,-3403.01,-29418.4,-9665.24,19776.4
0.103425,0.474922,0.939101,-3044.96,1555.03,5215.5,29145.5,-14884.4,-49921.4
0.484246,0.313734,0.308338,1155.37,-1514.37,-657.169,-47481.8,62235.8,27007.5
0.445553,0.323444,0.690055,1081.41,944.502,1431.73,-73647.9,-64323.9,-97505.9
0.596706,0.343922,0.730412,1494.58,-2278.06,1909.84,-40706.7,62045.6,-52016.7
0.182029,0.0205678,0.0351786,-1951.84,-3261.75,-2739.63,11183.6,18689,15697.4
0.0617946,0.0512492,0.833372,-2036.9,-4610.26,3011.84,15990.3,36192.1,-23643.9
0.773157,0.191763,0.282008,1506.28,-2719.55,-1328.97,-26134.9,47185.9,23058.5
0.756301,0.676803,0.656452,2340.61,833.86,736.435,-80877.4,-28813.2,-25446.8
0.312309,0.250355,0.604196,-501.826,-2504.43,257.19,20463.6,102126,-10487.7
0.471244,0.0664675,0.776282,856.636,-5619.9,2013.12,-8342.34,54729.3,-19604.7
0.184231,0.953432,0.492145,-2880.62,4912.22,968.622,27606,-47075.5,-9282.65
0.737498,0.706907,0.687449,2468.21,80.8241,1529.89,-76716.8,-2512.17,-47552.1
0.441945,0.764588,0.839688,-305.389,955.797,3655.47,6929.18,-21686.7,-82941.3
0.383422,0.286956,0.0695716,-740.035,-2202.26,-5435.35,6827.64,20318.3,50147.2
0.741472,0.454155,0.31287,1606.01,-105.732,-1608.5,-58720.8,3865.87,58811.6
0.831804,0.476288,0.51234,3069.21,-310.92,989.388,-79472,8050.77,-25618.6
0.750443,0.470599,0.806919,2955.66,-544.059,2414.33,-76628.2,14105.2,-62593.6
0.703975,0.584095,0.845782,1614.05,1686.94,4339.49,-29872.4,-31221.4,-80314.1
0.400812,0.223931,0.648974,-332.414,-4097.67,1213.04,8546.98,105359,-31189.6
0.945997,0.433043,0.156219,5599.6,-351.943,-420.992,-52761.1,3316.11,3966.72
0.841896,0.579185,0.797097,2092.09,1572.23,2441.38,-52385.5,-39368.3,-61131.8
0.928346,0.939881,0.127447,4333.4,3163.58,-1525.16,-43107.5,-31470.5,15171.9
0.996796,0.931244,0.551339,5621.14,4130.49,124.751,-41397.6,-30419.5,-918.745
0.55537,0.0226165,0.764891,2846.38,-5380.33,2124.45,-25424.5,48058.3,-18976.1
0.657601,0.423201,0.744521,1504.81,-24.953,2217.76,-62934,1043.58,-92751
0.370234,0.253392,0.88491,-1121.88,-2048.89,2369.4,27865.3,50890.6,-58851.5
0.490564,0.427293,0.910546,331.842,434.411,4781.97,-4618.6,-6046.17,-66555.7
0.605062,0.43635,0.648087,-840.616,494.456,-917.604,60501.8,-35587.6,66042.9
0.263246,0.755164,0.0680131,-2311.96,715.269,-6627.47,25177.4,-7789.34,72173.8
0.0370351,0.141213,0.965302,-2042.61,-1165.72,2857.03,4219.11,2407.85,-5901.33
0.816515,0.236381,0.579459,3120.88,-2616.47,-754.139,-54769.6,45917.5,13234.7
0.882111,0.274531,0.56674,4155.42,-2562.62,-302.781,-51018.6,31462.9,3717.41
0.606865,0.0422696,0.815378,2485.95,-4614.67,2272.44,-21014.5,39009.4,-19209.7
0.304114,0.0230591,0.0838909,647.714,-4064.23,-2695.79,-2921.08,18329,12157.5
0.106949,0.84198,0.361211,-5676.34,1483.08,-1215.25,67999.7,-17766.6,14558.1
0.424046,0.171522,0.507929,-1824.82,-3134.62,-1936.91,42086.1,72294.3,44671.4
0.244661,0.0417783,0.233626,-776.599,-4733.03,-98.6775,9618.35,58619.6,1222.14
0.373634,0.542209,0.707686,-347.09,816.44,2617.79,12737.7,-29962,-96068.8
0.778766,0.576106,0.57226,2107.6,526.458,105.492,-87139.7,-21766.7,-4361.62
0.423963,0.144136,0.925623,280.972,-3673.66,5448.56,-2333.04,30504.1,-45242
0.681888,0.30857,0.962117,826.712,-1575.94,6420.03,-10016.5,19094.3,-77785.9
0.960649,0.546035,0.116796,5249.42,-9.33441,-1990.2,-33926.3,60.3271,12862.4
0.984922,0.183598,0.97352,3759.75,-1048.17,3192.77,-20463.4,5704.93,-17377.5
0.708007,0.848074,0.0767384,-252.044,3952.24,-4181.4,3073.27,-48191.2,50985.4
0.774553,0.201001,0.760993,1918.46,-4141.54,1628.73,-27410.9,59174.3,-23271.3
0.392026,0.325222,0.422202,467.603,-1666.31,-879.073,-23283.6,82971.6,43772.1
0.125408,0.150212,0.72793,409.783,-3368.3,2517.21,-10660,87622.6,-65482.4
0.759677,0.48135,0.82642,1210.03,273.703,2631.97,-41423.6,-9369.85,-90101.8
0.242849,0.110941,0.625239,-1336.52,-4488.62,146.591,19311.9,64858.2,-2118.16
0.174498,0.290788,0.127291,-1681.96,-1985.55,-4504.26,26726,31549.8,71571.5
0.501766,0.301637,0.537419,1251.48,-68.1036,-1892.45,-56823.1,3092.23,85926.3
0.360471,0.68402,0.187484,-1662.87,-494.193,-5137.81,35254.8,10477.5,108928
0.970399,0.239954,0.238477,4737.29,-422.962,-385.083,-54030.5,4824.04,4392.01
0.409057,0.433555,0.0886841,1371,1908.43,-6333.15,-16394.1,-22820.6,75730.2
0.990907,0.973308,0.951374,1822.68,1965.67,1785.33,-7210.22,-7775.87,-7062.48
0.661791,0.481801,0.844288,1617.7,963.666,4162.28,-36937.8,-22004,-95039.8
0.0280731,0.377542,0.293117,-5490.34,584.673,-1107.32,27925.8,-2973.86,5632.21
0.532861,0.199671,0.558702,2067.25,-3006.31,-689.252,-50987.3,74148.5,16999.9
0.912938,0.561808,0.890642,3366.01,2194.95,3420.86,-35954.3,-23445.6,-36540.2
0.55762,0.746088,0.818819,1385.51,2744.19,2588.74,-36495.6,-72284.6,-68190.1
0.495596,0.986813,0.605411,366.723,5910.97,-123.991,-3657.9,-58959.4,1236.75
0.313317,0.787286,0.327797,-573.102,3249.98,370.297,17271.2,-97942.2,-11159.4
0.902408,0.549199,0.00259012,3112.93,375.929,-5549.14,-21247.4,-2565.92,37875.8
0.959291,0.87598,0.372404,5146.09,2242.73,-2731.4,-41271.9,-17986.8,21905.9
0.553709,0.041726,0.530613,1324.48,-5440.76,-993.962,-4663.92,19158.6,3500.05
0.361227,0.536452,0.622036,44.527,2456.56,626.402,-1819.34,-100373,-25594.4
0.348958,0.945878,0.654263,-38.5996,5533.2,922.348,377.18,-54068.2,-9012.82
0.21724,0.303739,0.601943,-3125.7,-832.351,811.189,93322.8,24851.2,-24219.4
0.439381,0.497442,0.967882,-1889.65,1679.97,5396.66,19930.4,-17718.9,-56919.2
0.739598,0.31271,0.733014,1654.9,-2121,927.874,-56092.3,71890.7,-31450
0.867186,0.921,0.106895,3644.92,4951.4,-3026.64,-39353.7,-53459.6,32678.2
0.77388,0.444595,0.0993806,3040.45,-866.647,-4093.22,-33338.9,9502.88,44882.6
0.0258375,0.42531,0.016098,-4194.17,-639.393,-3838.46,15413.7,2349.79,14106.5
0.490681,0.753177,0.756492,138.67,2300.57,1694.16,-4599.57,-76308,-56193.9
0.490403,0.868115,0.505822,-1063.98,4093,516.499,21036.5,-80924.9,-10212
0.786702,0.826218,0.8823,2987.98,1609.13,2461.64,-34311.5,-18477.9,-28267.4
0.266386,0.0837387,0.754813,-613.504,-5943.63,1647.68,4827.77,46771.4,-12965.8
0.696959,0.554865,0.445393,920.432,-662.054,-396.38,-53300.9,38338.6,22953.8
0.915485,0.656594,0.674485,3862.71,2730.23,219.026,-47917.5,-33869,-2717.06
0.857438,0.816598,0.0672956,5163.08,1924.61,-2988.99,-54407.8,-20281.2,31497.5
0.291666,0.62062,0.0937847,-870.942,469.36,-4627.87,14656.8,-7898.72,77881.2
0.632968,0.958414,0.889708,1077.56,6301.09,1487.9,-9851.6,-57607.9,-13603.2
0.0216536,0.891396,0.092133,-3550.79,1941.27,-2714.62,18447.4,-10085.5,14103.2
0.436111,0.3467,0.177728,360.002,-1572.64,-2581.57,-12199.1,53290.6,87479.6
0.607524,0.966581,0.730325,691.961,5517.85,1262.74,-4701.29,-37489.1,-8579.25
0.025362,0.665699,0.631629,-4379.57,1826.09,-126.116,44604.1,-18597.9,1284.43
0.0434712,0.604756,0.64783,-4394,1308.44,-1166.16,35566.6,-10591,9439.33
0.311576,0.962761,0.530017,-15.4902,5505.19,485.205,132.001,-46913.1,-4134.72
0.219185,0.362222,0.118777,-3184.95,-2318.99,-4957.53,43860.3,31935.1,68270.8
0.385308,0.893236,0.784917,486.712,3897.26,2087.47,-8972.91,-71848.9,-38484.1
0.620304,0.9299,0.411259,45.8399,5429.29,-1014.05,-497.6,-58935.9,11007.7
0.38809,0.777427,0.0813817,-1529.91,1929.81,-5130.08,13102.5,-16527.3,43935
0.416789,0.872302,0.839555,447.271,3451,3111.94,-5101.65,-39362.8,-35495.4
0.769504,0.491436,0.355483,1671.31,222.367,-2458.18,-36259.6,-4824.32,53331.2
0.449357,0.384052,0.797746,-1142.01,1478.42,1932.85,39954.4,-51723.8,-67622.7
0.227616,0.761293,0.0298095,-2716.91,803.472,-5062.88,21634.7,-6398.04,40315.7
0.975164,0.834653,0.04459,4620,1279.36,-3052.79,-25422.4,-7039.9,16798.6
0.0419219,0.168713,0.607186,-4379.45,-2948.47,-1156.63,39856.9,26833.6,10526.4
0.647371,0.305869,0.443608,1530.59,-1968.04,-1384.53,-38953.2,50086.3,35236.1
0.182849,0.568246,0.454472,-4307.69,1935.91,-11.8047,75083.9,-33743.3,205.758
0.0204568,0.313946,0.269254,-7365.85,-2162.31,-2314.04,76291.2,22395.9,23967.5
0.0351396,0.266311,0.342893,-5861.53,-2057.92,-509.546,55638.4,19534.1,4836.68
0.730874,0.63088,0.197353,2794.08,-105.064,-1365.99,-100563,3781.41,49164.1
0.649548,0.313059,0.731025,1320.47,-1814.41,2298.51,-28371,38983.8,-49384.9
0.227336,0.250015,0.334585,-2447.64,-2295.58,-1456.92,42135,39517.2,25080.1
0.315164,0.397338,0.772379,-3733.53,-61.9933,4055.32,75539.2,1254.29,-82049.7
0.0418529,0.814808,0.172039,-4841.03,-83.6578,-2369.65,47430.8,819.65,23217.1
0.0249288,0.278825,0.517513,-6629.44,-1092.75,-654.585,61828.6,10191.4,6104.9
0.120367,0.469158,0.965444,-1081.6,1093.93,5919.28,8162.13,-8255.2,-44668.9
0.898507,0.531035,0.703218,4476.83,715.688,170.981,-91506.3,-14628.6,-3494.85
0.750565,0.128842,0.508693,385.445,-4430.44,-1918.25,-6543.59,75214.4,32565.6
0.118013,0.416634,0.98309,-691.651,2220.72,6239.52,5363.31,-17220.2,-48383.5
0.732128,0.0613093,0.721887,1273.49,-5633.2,1600.5,-9970.03,44101.8,-12530.2
0.583723,0.250631,0.923765,635.868,-3346.31,5107.54,-5669.38,29835.6,-45538.7
0.807801,0.365893,0.977017,2499.64,294.874,6530.34,-20707,-2442.73,-54097.3
0.806154,0.945985,0.184592,1745.18,4844.08,181.447,-15807.4,-43876.5,-1643.5
0.674724,0.413585,0.151939,1573.19,-2225.69,-2712.75,-39242.2,55518.6,67667.9
0.809932,0.574161,0.813968,2121.99,2114.8,2441.51,-56618.2,-56426.3,-65143.5
0.906292,0.894875,0.465589,2395.7,2633.25,-1922,-23515.5,-25847.2,18865.7
0.2975,0.440407,0.333656,-1723.25,-1041.09,-1731.92,59178.1,35752,59476.1
0.913578,0.0105201,0.649889,3012.79,-5139.85,694.795,-18432.1,31445.3,-4250.73
0.350742,0.49959,0.28063,-3039.21,-74.0983,-2104.1,89078.4,2171.8,61670.8
0.245019,0.823356,0.23601,-4922,761.148,-2677.99,87793.6,-13576.6,47767.2
0.319175,0.767208,0.0270036,-1883.98,1103.89,-6544.61,10132.4,-5936.91,35198
0.132299,0.928122,0.80188,-3083.68,4049.27,1843.81,28200,-37030.3,-16861.5
0.0219472,0.470264,0.670706,-4629.77,-422.918,546.518,60351.7,5512.99,-7124.19
0.59709,0.901327,0.964708,-291.911,2261.19,5440.81,1817.04,-14075.1,-33867
0.250517,0.717546,0.450768,-2394.48,2785.29,-1414.49,45226,-52607.5,26716.3
0.347833,0.981567,0.161475,-268.552,5969.01,-2765.79,2105.52,-46798.7,21684.6
0.149401,0.0324624,0.854245,-2730.74,-5431.31,2169.27,20072,39922.4,-15945.1
0.297584,0.465955,0.684673,-3007.83,113.494,2834.54,73917.4,-2789.11,-69659
0.402963,0.417581,0.239044,961.498,-1335.42,-1853.4,-43126,59897.3,83130.4
0.235066,0.51837,0.3745,-3539.38,995.904,-2970.14,88874.3,-25007.3,74580.6
0.33233,0.447807,0.274476,-1182.05,2853.42,-2847.33,30962.5,-74741.8,74582.3
0.80395,0.789139,0.468865,2056.86,1674.18,-209.166,-66287.6,-53954.8,6740.91
0.482811,0.833772,0.636571,-986.468,3525.64,1344.77,19467.3,-69576.1,-26538
0.458539,0.876963,0.226691,1111.44,4280.98,309.939,-17792.3,-68531.1,-4961.59
0.690115,0.445313,0.619131,1244.63,-1167.17,-1050.73,-64676.8,60651.8,54601.2
0.165371,0.46979,0.44529,-4123.18,-940.856,194.476,96410.3,21999.5,-4547.33
0.670892,0.785415,0.441999,2720.25,2080.23,37.6976,-89542.3,-68475,-1240.89
0.541915,0.263964,0.393957,1468.03,-1852.73,-1861.96,-45054,56860.7,57143.9
0.943406,0.572039,0.722858,6066.38,952.357,766.716,-69881,-10970.6,-8832.11
0.883787,0.283054,0.552093,4061.63,-2969.54,-316.257,-50011.2,36564.1,3894.1
0.717211,0.666563,0.254797,2685.64,905.043,-1381.58,-84564.3,-28497.6,43502.6
